"Genes","tissue","expression"
"H13","White Adipose",9.5701
"SNRPN","White Adipose",-10
"ZRSR1","White Adipose",-10
"MEG3","White Adipose",10
"RIAN","White Adipose",10
"PEG3","White Adipose",-10
"PLAGL1","White Adipose",-10
"1110014L15RIK-new","White Adipose",0
"ASB4","White Adipose",0.30103
"ZIM1","White Adipose",0.30103
"KLHDC10","White Adipose",13.3198
"DLK1","White Adipose",-12
"GNAS","White Adipose",15.896
"PPP1R9A","White Adipose",12.2135
"PDE4D","White Adipose",0.53813
"A19","White Adipose",-12
"ZFP264","White Adipose",-12
"KCNQ1OT1","White Adipose",-6.6807
"AK050713","White Adipose",-12
"RTL1","White Adipose",-12
"CDKN1C","White Adipose",1.5051
"PEG12","White Adipose",-12
"KCNQ1","White Adipose",-0.40311
"NESPAS","White Adipose",-12
"SLC38A4","White Adipose",-12
"H19","White Adipose",-12
"IGF2","White Adipose",-0.30103
"INS1","White Adipose",-12
"TFPI2","White Adipose",-11
"AK043599","White Adipose",-12
"EDN3-new","White Adipose",-12
"TMEM106A-new","White Adipose",0.89147
"DDC","White Adipose",-12
"RDM1","White Adipose",13.1799
"TNK1-new","White Adipose",-0.96108
"TREM1-new","White Adipose",-12
"2400006E01RIK-new","White Adipose",-12
"IGF2AS","White Adipose",-12
"UC008IHS.1-new","White Adipose",-12
"5133400J02RIK-new","White Adipose",-12
"PHLDA2","White Adipose",-12
"AF357359","White Adipose",-12
"GAB1","White Adipose",11.9477
"SFMBT2","White Adipose",-0.43976
"CD81","White Adipose",16
"PHF17","White Adipose",1.1476
"TSSC4","White Adipose",13.248
"DACT2-new","White Adipose",-0.20548
"SLC22A2","White Adipose",-11
"TSSC5","White Adipose",1.2041
"SLC22A3","White Adipose",13.4553
"KLF14","White Adipose",0.30103
"ATP10A","White Adipose",12.8554
"DCN","White Adipose",16
"PON2","White Adipose",13.8715
"PON3","White Adipose",14.2463
"AMPD3","White Adipose",12.9533
"GABRB3","White Adipose",-12
"GATM","White Adipose",11.6847
"TBC1D12","White Adipose",0.26446
"DIO3","White Adipose",-12
"NAP1L4","White Adipose",14.3078
"MSUIT","White Adipose",-12
"ASCL2","White Adipose",-12
"OSBPL5","White Adipose",12.6
"TNFRSF23","White Adipose",-0.59908
"AIRN","White Adipose",-3.3113
"HTR2A","White Adipose",-12
"MAPT","White Adipose",11.0274
"MKRN1-PS1","White Adipose",-0.30103
"DLX5","White Adipose",-12
"IGF2R","White Adipose",10
"TRY4-new","White Adipose",-12
"TSPAN32","White Adipose",-11
"ZIM2","White Adipose",-12
"PEC3","Skeletal Muscle",-11
"UBE2NL","Skeletal Muscle",-12
"TRAPPC9","Skeletal Muscle",-11
"EIF2C2","Skeletal Muscle",12.407
"MIR344D-3","Skeletal Muscle",-12
"MIR344G","Skeletal Muscle",-12
"A930009L07RIK","Skeletal Muscle",-12
"KCNK9","Skeletal Muscle",-12
"RASGRF1","Skeletal Muscle",-12
"INPP5F","Skeletal Muscle",-11
"NAP1L5","Skeletal Muscle",-0.30103
"USP29","Skeletal Muscle",-0.30103
"HERC3-new","Skeletal Muscle",0.71274
"GM9801-new","Skeletal Muscle",-12
"BEGAIN","Skeletal Muscle",0.50515
"PX00010K13","Skeletal Muscle",-5.4185
"PEG13","Skeletal Muscle",-4.8165
"1110006E14RIK","Skeletal Muscle",0.90309
"MBII-343","Skeletal Muscle",1.2041
"MIRG","Skeletal Muscle",2.1072
"ZDBF2","Skeletal Muscle",-11
"IMPACT","Skeletal Muscle",-7.6986
"NDN","Skeletal Muscle",-5.4185
"NIBP","Skeletal Muscle",-2.317
"AK139287","Skeletal Muscle",-12
"CCDC40-AS","Skeletal Muscle",-12
"PX00113D24","Skeletal Muscle",-0.30103
"PEC2","Skeletal Muscle",-12
"ZIM3","Skeletal Muscle",-12
"AK142849","Skeletal Muscle",-12
"MKRN3","Skeletal Muscle",-12
"IPW","Skeletal Muscle",-12
"B830012L14RIK","Skeletal Muscle",0.30103
"ADAM23","Skeletal Muscle",-0.30103
"COMMD1","Skeletal Muscle",1.0275
"UBE3A","Skeletal Muscle",12.0216
"WARS","Skeletal Muscle",12.599
"BCL2L1","Skeletal Muscle",12.6028
"BLCAP","Skeletal Muscle",13.384
"CALCR","Skeletal Muscle",-11
"MAGEL2","Skeletal Muscle",-12
"CDH15","Skeletal Muscle",12.6835
"COPG2","Skeletal Muscle",0.22316
"U80893","Skeletal Muscle",-12
"NR_015479-new","Skeletal Muscle",11.6335
"GRB10","Skeletal Muscle",10
"PEG10","Skeletal Muscle",-1.8062
"SGCE","Skeletal Muscle",-6.3216
"PEG1","Skeletal Muscle",-0.79047
"MCTS2","Skeletal Muscle",-2.7093
"H13","Skeletal Muscle",10
"SNRPN","Skeletal Muscle",-10
"ZRSR1","Skeletal Muscle",-10
"MEG3","Skeletal Muscle",10
"RIAN","Skeletal Muscle",10
"PEG3","Skeletal Muscle",-10
"PLAGL1","Skeletal Muscle",-7.5257
"1110014L15RIK-new","Skeletal Muscle",-11
"ASB4","Skeletal Muscle",-11
"ZIM1","Skeletal Muscle",0.67372
"KLHDC10","Skeletal Muscle",12.1113
"DLK1","Skeletal Muscle",-2.1072
"GNAS","Skeletal Muscle",0.69522
"PPP1R9A","Skeletal Muscle",-11
"PDE4D","Skeletal Muscle",12.9687
"A19","Skeletal Muscle",-12
"ZFP264","Skeletal Muscle",-12
"KCNQ1OT1","Skeletal Muscle",-10
"AK050713","Skeletal Muscle",-12
"RTL1","Skeletal Muscle",1.2041
"CDKN1C","Skeletal Muscle",3.183
"PEG12","Skeletal Muscle",-11
"KCNQ1","Skeletal Muscle",0.43976
"NESPAS","Skeletal Muscle",-12
"SLC38A4","Skeletal Muscle",-10
"H19","Skeletal Muscle",10
"IGF2","Skeletal Muscle",-10
"INS1","Skeletal Muscle",-12
"TFPI2","Skeletal Muscle",-11
"AK043599","Skeletal Muscle",-12
"EDN3-new","Skeletal Muscle",0.381
"TMEM106A-new","Skeletal Muscle",-11
"DDC","Skeletal Muscle",-12
"RDM1","Skeletal Muscle",13.4023
"TNK1-new","Skeletal Muscle",-11
"TREM1-new","Skeletal Muscle",-12
"2400006E01RIK-new","Skeletal Muscle",-12
"IGF2AS","Skeletal Muscle",-0.30103
"UC008IHS.1-new","Skeletal Muscle",-12
"5133400J02RIK-new","Skeletal Muscle",-12
"PHLDA2","Skeletal Muscle",-12
"AF357359","Skeletal Muscle",-12
"GAB1","Skeletal Muscle",11.9618
"SFMBT2","Skeletal Muscle",-12
"CD81","Skeletal Muscle",14.4723
"PHF17","Skeletal Muscle",11.4695
"TSSC4","Skeletal Muscle",11.7963
"DACT2-new","Skeletal Muscle",11.3232
"SLC22A2","Skeletal Muscle",-12
"TSSC5","Skeletal Muscle",-12
"SLC22A3","Skeletal Muscle",-11
"KLF14","Skeletal Muscle",-12
"ATP10A","Skeletal Muscle",-11
"DCN","Skeletal Muscle",0.55521
"PON2","Skeletal Muscle",12.5172
"PON3","Skeletal Muscle",12.5179
"AMPD3","Skeletal Muscle",11.106
"GABRB3","Skeletal Muscle",-12
"GATM","Skeletal Muscle",11.5611
"TBC1D12","Skeletal Muscle",-11
"DIO3","Skeletal Muscle",-11
"NAP1L4","Skeletal Muscle",-0.80658
"MSUIT","Skeletal Muscle",0.30103
"ASCL2","Skeletal Muscle",-12
"OSBPL5","Skeletal Muscle",-0.60489
"TNFRSF23","Skeletal Muscle",-11
"AIRN","Skeletal Muscle",-0.727
"HTR2A","Skeletal Muscle",-12
"MAPT","Skeletal Muscle",12.7768
"MKRN1-PS1","Skeletal Muscle",-12
"DLX5","Skeletal Muscle",-12
"IGF2R","Skeletal Muscle",10
"TRY4-new","Skeletal Muscle",-12
"TSPAN32","Skeletal Muscle",-11
"ZIM2","Skeletal Muscle",-12
"PEC3","Skin",-12
"UBE2NL","Skin",-12
"TRAPPC9","Skin",0.40265
"EIF2C2","Skin",-0.30103
"MIR344D-3","Skin",-12
"MIR344G","Skin",-12
"A930009L07RIK","Skin",-12
"KCNK9","Skin",-12
"RASGRF1","Skin",-2.4082
"INPP5F","Skin",12.2886
"NAP1L5","Skin",-12
"USP29","Skin",-12
"HERC3-new","Skin",12.069
"GM9801-new","Skin",-12
"BEGAIN","Skin",-11
"PX00010K13","Skin",-2.7093
"PEG13","Skin",-2.1072
"1110006E14RIK","Skin",0.30103
"MBII-343","Skin",3.9134
"MIRG","Skin",0.30103
"ZDBF2","Skin",-0.90309
"IMPACT","Skin",-8.5846
"NDN","Skin",-2.7093
"NIBP","Skin",-1.2029
"AK139287","Skin",-12
"CCDC40-AS","Skin",-12
"PX00113D24","Skin",-1.5051
"PEC2","Skin",-12
"ZIM3","Skin",-12
"AK142849","Skin",-12
"MKRN3","Skin",-12
"IPW","Skin",-12
"B830012L14RIK","Skin",0.30103
"ADAM23","Skin",11.2483
"COMMD1","Skin",-12
"UBE3A","Skin",-1.2291
"WARS","Skin",-1.1588
"BCL2L1","Skin",13.3222
"BLCAP","Skin",13.8023
"CALCR","Skin",-11
"MAGEL2","Skin",-12
"CDH15","Skin",-11
"COPG2","Skin",1.2493
"U80893","Skin",-12
"NR_015479-new","Skin",-0.51742
"GRB10","Skin",0.30103
"PEG10","Skin",-0.90309
"SGCE","Skin",-8.4288
"PEG1","Skin",-9.4381
"MCTS2","Skin",-8.1278
"H13","Skin",0.51956
"SNRPN","Skin",-8.7299
"ZRSR1","Skin",-8.7299
"MEG3","Skin",10
"RIAN","Skin",10
"PEG3","Skin",-0.90309
"PLAGL1","Skin",-10
"1110014L15RIK-new","Skin",2.7093
"ASB4","Skin",-11
"ZIM1","Skin",-12
"KLHDC10","Skin",-0.47315
"DLK1","Skin",-12
"GNAS","Skin",1.0503
"PPP1R9A","Skin",11.1579
"PDE4D","Skin",-0.89952
"A19","Skin",-12
"ZFP264","Skin",-12
"KCNQ1OT1","Skin",-10
"AK050713","Skin",-12
"RTL1","Skin",-12
"CDKN1C","Skin",-12
"PEG12","Skin",-12
"KCNQ1","Skin",0.30103
"NESPAS","Skin",-12
"SLC38A4","Skin",-10
"H19","Skin",10
"IGF2","Skin",-12
"INS1","Skin",-12
"TFPI2","Skin",-0.30103
"AK043599","Skin",-12
"EDN3-new","Skin",-11
"TMEM106A-new","Skin",12.856
"DDC","Skin",-12
"RDM1","Skin",-0.2818
"TNK1-new","Skin",13.5552
"TREM1-new","Skin",-12
"2400006E01RIK-new","Skin",-12
"IGF2AS","Skin",-12
"UC008IHS.1-new","Skin",-12
"5133400J02RIK-new","Skin",-12
"PHLDA2","Skin",-12
"AF357359","Skin",-12
"GAB1","Skin",0.26777
"SFMBT2","Skin",-12
"CD81","Skin",15.4492
"PHF17","Skin",-0.27959
"TSSC4","Skin",13.2689
"DACT2-new","Skin",-12
"SLC22A2","Skin",0.30103
"TSSC5","Skin",1.1746
"SLC22A3","Skin",12.7252
"KLF14","Skin",-12
"ATP10A","Skin",12.0325
"DCN","Skin",-0.37805
"PON2","Skin",13.7953
"PON3","Skin",13.0826
"AMPD3","Skin",12.6767
"GABRB3","Skin",-12
"GATM","Skin",11.8822
"TBC1D12","Skin",11.5156
"DIO3","Skin",-12
"NAP1L4","Skin",14.2663
"MSUIT","Skin",-12
"ASCL2","Skin",-0.30103
"OSBPL5","Skin",-0.47711
"TNFRSF23","Skin",-1.0468
"AIRN","Skin",-0.90309
"HTR2A","Skin",-12
"MAPT","Skin",11.7153
"MKRN1-PS1","Skin",-11
"DLX5","Skin",-0.30103
"IGF2R","Skin",7.4598
"TRY4-new","Skin",-12
"TSPAN32","Skin",-0.30103
"ZIM2","Skin",-12
"PEC3","Heart",-12
"UBE2NL","Heart",-12
"TRAPPC9","Heart",-12
"EIF2C2","Heart",-0.30103
"MIR344D-3","Heart",-12
"MIR344G","Heart",-12
"A930009L07RIK","Heart",-12
"KCNK9","Heart",-12
"RASGRF1","Heart",-12
"INPP5F","Heart",0.30103
"NAP1L5","Heart",-12
"USP29","Heart",-12
"HERC3-new","Heart",12.4926
"GM9801-new","Heart",-12
"BEGAIN","Heart",-12
"PX00010K13","Heart",-12
"PEG13","Heart",-12
"1110006E14RIK","Heart",0.30103
"MBII-343","Heart",0.60206
"MIRG","Heart",0.60206
"ZDBF2","Heart",-0.60206
"IMPACT","Heart",-2.6429
"NDN","Heart",-0.727
"NIBP","Heart",-3.316
"AK139287","Heart",-12
"CCDC40-AS","Heart",-12
"PX00113D24","Heart",-3.9134
"PEC2","Heart",-12
"ZIM3","Heart",-12
"AK142849","Heart",-12
"MKRN3","Heart",-12
"IPW","Heart",-12
"B830012L14RIK","Heart",-12
"ADAM23","Heart",-11
"COMMD1","Heart",14.1653
"UBE3A","Heart",12.9872
"WARS","Heart",12.5682
"BCL2L1","Heart",12.2986
"BLCAP","Heart",11.7974
"CALCR","Heart",-12
"MAGEL2","Heart",-12
"CDH15","Heart",-12
"COPG2","Heart",-1.7806
"U80893","Heart",-12
"NR_015479-new","Heart",-12
"GRB10","Heart",6.9664
"PEG10","Heart",-1.5051
"SGCE","Heart",-10
"PEG1","Heart",-7.8268
"MCTS2","Heart",-7.5257
"H13","Heart",5.3683
"SNRPN","Heart",-10
"ZRSR1","Heart",-8.7299
"MEG3","Heart",2.4984
"RIAN","Heart",9.0309
"PEG3","Heart",-1.5051
"PLAGL1","Heart",-10
"1110014L15RIK-new","Heart",-12
"ASB4","Heart",11.305
"ZIM1","Heart",-12
"KLHDC10","Heart",12.5883
"DLK1","Heart",-12
"GNAS","Heart",15.5881
"PPP1R9A","Heart",11.4245
"PDE4D","Heart",11.8496
"A19","Heart",-12
"ZFP264","Heart",-12
"KCNQ1OT1","Heart",-1.454
"AK050713","Heart",-12
"RTL1","Heart",-12
"CDKN1C","Heart",0.96108
"PEG12","Heart",-12
"KCNQ1","Heart",3.2829
"NESPAS","Heart",-12
"SLC38A4","Heart",-2.93
"H19","Heart",5.7196
"IGF2","Heart",-2.1072
"INS1","Heart",-12
"TFPI2","Heart",-11
"AK043599","Heart",-12
"EDN3-new","Heart",-11
"TMEM106A-new","Heart",1.3141
"DDC","Heart",-0.90309
"RDM1","Heart",13.6783
"TNK1-new","Heart",-12
"TREM1-new","Heart",-12
"2400006E01RIK-new","Heart",-12
"IGF2AS","Heart",-12
"UC008IHS.1-new","Heart",-12
"5133400J02RIK-new","Heart",-12
"PHLDA2","Heart",-12
"AF357359","Heart",-12
"GAB1","Heart",11.8374
"SFMBT2","Heart",-11
"CD81","Heart",-0.30103
"PHF17","Heart",-0.30103
"TSSC4","Heart",0.73131
"DACT2-new","Heart",-12
"SLC22A2","Heart",-12
"TSSC5","Heart",-12
"SLC22A3","Heart",-11
"KLF14","Heart",-12
"ATP10A","Heart",-0.30103
"DCN","Heart",16
"PON2","Heart",12.4072
"PON3","Heart",11.7956
"AMPD3","Heart",12.7138
"GABRB3","Heart",-11
"GATM","Heart",11.5812
"TBC1D12","Heart",11.2571
"DIO3","Heart",-12
"NAP1L4","Heart",0.57295
"MSUIT","Heart",-12
"ASCL2","Heart",-12
"OSBPL5","Heart",-0.53412
"TNFRSF23","Heart",-11
"AIRN","Heart",-2.1072
"HTR2A","Heart",-12
"MAPT","Heart",0.60583
"MKRN1-PS1","Heart",-12
"DLX5","Heart",-12
"IGF2R","Heart",10
"TRY4-new","Heart",-12
"TSPAN32","Heart",-0.46376
"ZIM2","Heart",-12
"PEC3","Stomach",-12
"UBE2NL","Stomach",-12
"TRAPPC9","Stomach",-11
"EIF2C2","Stomach",11.5286
"MIR344D-3","Stomach",-12
"MIR344G","Stomach",-12
"A930009L07RIK","Stomach",-12
"KCNK9","Stomach",-12
"RASGRF1","Stomach",-0.90309
"INPP5F","Stomach",11.333
"NAP1L5","Stomach",-0.64481
"USP29","Stomach",-0.60206
"HERC3-new","Stomach",11.9639
"GM9801-new","Stomach",-12
"BEGAIN","Stomach",-0.30103
"PX00010K13","Stomach",-0.96108
"PEG13","Stomach",-2.7093
"1110006E14RIK","Stomach",0.60206
"MBII-343","Stomach",-12
"MIRG","Stomach",1.2041
"ZDBF2","Stomach",-12
"IMPACT","Stomach",-4.1067
"NDN","Stomach",-0.96108
"NIBP","Stomach",-5.1992
"AK139287","Stomach",-12
"CCDC40-AS","Stomach",-12
"PX00113D24","Stomach",-12
"PEC2","Stomach",-12
"ZIM3","Stomach",-12
"AK142849","Stomach",-12
"MKRN3","Stomach",-12
"IPW","Stomach",-12
"B830012L14RIK","Stomach",-12
"ADAM23","Stomach",-11
"COMMD1","Stomach",0.381
"UBE3A","Stomach",11.6102
"WARS","Stomach",13.1872
"BCL2L1","Stomach",13.2034
"BLCAP","Stomach",13.0755
"CALCR","Stomach",-12
"MAGEL2","Stomach",-12
"CDH15","Stomach",-12
"COPG2","Stomach",12.5835
"U80893","Stomach",-12
"NR_015479-new","Stomach",-11
"GRB10","Stomach",1.8062
"PEG10","Stomach",-0.727
"SGCE","Stomach",-5.1175
"PEG1","Stomach",-11
"MCTS2","Stomach",-0.12494
"H13","Stomach",5.9645
"SNRPN","Stomach",-5.7196
"ZRSR1","Stomach",-8.7299
"MEG3","Stomach",10
"RIAN","Stomach",3.6124
"PEG3","Stomach",-10
"PLAGL1","Stomach",-10
"1110014L15RIK-new","Stomach",-12
"ASB4","Stomach",-12
"ZIM1","Stomach",-12
"KLHDC10","Stomach",0.52146
"DLK1","Stomach",-1.2041
"GNAS","Stomach",0.43422
"PPP1R9A","Stomach",-0.41774
"PDE4D","Stomach",-11
"A19","Stomach",-12
"ZFP264","Stomach",-12
"KCNQ1OT1","Stomach",-10
"AK050713","Stomach",-12
"RTL1","Stomach",-12
"CDKN1C","Stomach",0.96108
"PEG12","Stomach",-0.60206
"KCNQ1","Stomach",13.993
"NESPAS","Stomach",-12
"SLC38A4","Stomach",-11
"H19","Stomach",3.0103
"IGF2","Stomach",-0.87477
"INS1","Stomach",-12
"TFPI2","Stomach",-11
"AK043599","Stomach",-12
"EDN3-new","Stomach",-11
"TMEM106A-new","Stomach",-11
"DDC","Stomach",11.067
"RDM1","Stomach",12.2101
"TNK1-new","Stomach",12.1924
"TREM1-new","Stomach",-12
"2400006E01RIK-new","Stomach",-12
"IGF2AS","Stomach",-0.30103
"UC008IHS.1-new","Stomach",-12
"5133400J02RIK-new","Stomach",-12
"PHLDA2","Stomach",12.134
"AF357359","Stomach",-12
"GAB1","Stomach",11.8832
"SFMBT2","Stomach",-12
"CD81","Stomach",14.649
"PHF17","Stomach",-0.30103
"TSSC4","Stomach",12.3363
"DACT2-new","Stomach",-0.30103
"SLC22A2","Stomach",-12
"TSSC5","Stomach",1.5823
"SLC22A3","Stomach",-0.30103
"KLF14","Stomach",-12
"ATP10A","Stomach",-11
"DCN","Stomach",13.6482
"PON2","Stomach",13.9173
"PON3","Stomach",12.3705
"AMPD3","Stomach",11.6477
"GABRB3","Stomach",-11
"GATM","Stomach",-0.37416
"TBC1D12","Stomach",-11
"DIO3","Stomach",-12
"NAP1L4","Stomach",13.5909
"MSUIT","Stomach",-12
"ASCL2","Stomach",-12
"OSBPL5","Stomach",12.0309
"TNFRSF23","Stomach",-11
"AIRN","Stomach",-0.90309
"HTR2A","Stomach",-12
"MAPT","Stomach",-11
"MKRN1-PS1","Stomach",-11
"DLX5","Stomach",-0.30103
"IGF2R","Stomach",10
"TRY4-new","Stomach",-10
"TSPAN32","Stomach",-0.30103
"ZIM2","Stomach",-12
"PEC3","Thymus",-12
"UBE2NL","Thymus",-12
"TRAPPC9","Thymus",0.69371
"EIF2C2","Thymus",12.0068
"MIR344D-3","Thymus",-12
"MIR344G","Thymus",-12
"A930009L07RIK","Thymus",-12
"KCNK9","Thymus",-12
"RASGRF1","Thymus",-11
"INPP5F","Thymus",12.592
"NAP1L5","Thymus",-12
"USP29","Thymus",-12
"HERC3-new","Thymus",13.0184
"GM9801-new","Thymus",-12
"BEGAIN","Thymus",-11
"PX00010K13","Thymus",-0.60206
"PEG13","Thymus",-2.1072
"1110006E14RIK","Thymus",0.30103
"MBII-343","Thymus",1.2041
"MIRG","Thymus",1.454
"ZDBF2","Thymus",-11
"IMPACT","Thymus",-3.992
"NDN","Thymus",-0.60206
"NIBP","Thymus",-2.1986
"AK139287","Thymus",-12
"CCDC40-AS","Thymus",-11
"PX00113D24","Thymus",-12
"PEC2","Thymus",-12
"ZIM3","Thymus",-12
"AK142849","Thymus",-12
"MKRN3","Thymus",-12
"IPW","Thymus",-12
"B830012L14RIK","Thymus",0.90309
"ADAM23","Thymus",-0.55279
"COMMD1","Thymus",13.8334
"UBE3A","Thymus",-1.0732
"WARS","Thymus",-0.65787
"BCL2L1","Thymus",14.6101
"BLCAP","Thymus",0.90309
"CALCR","Thymus",-12
"MAGEL2","Thymus",-12
"CDH15","Thymus",-11
"COPG2","Thymus",13.1527
"U80893","Thymus",-12
"NR_015479-new","Thymus",11.7986
"GRB10","Thymus",0.30103
"PEG10","Thymus",-0.30103
"SGCE","Thymus",-3.0103
"PEG1","Thymus",11.632
"MCTS2","Thymus",-0.30103
"H13","Thymus",13.4315
"SNRPN","Thymus",-0.90309
"ZRSR1","Thymus",-0.90309
"MEG3","Thymus",10
"RIAN","Thymus",8.4025
"PEG3","Thymus",-0.90309
"PLAGL1","Thymus",-8.1714
"1110014L15RIK-new","Thymus",-12
"ASB4","Thymus",-11
"ZIM1","Thymus",-12
"KLHDC10","Thymus",-0.30103
"DLK1","Thymus",-7.1843
"GNAS","Thymus",-0.27171
"PPP1R9A","Thymus",-11
"PDE4D","Thymus",12.8069
"A19","Thymus",-12
"ZFP264","Thymus",-12
"KCNQ1OT1","Thymus",-10
"AK050713","Thymus",-12
"RTL1","Thymus",0.30103
"CDKN1C","Thymus",0.90309
"PEG12","Thymus",-12
"KCNQ1","Thymus",-11
"NESPAS","Thymus",-12
"SLC38A4","Thymus",-0.30103
"H19","Thymus",4.8165
"IGF2","Thymus",-0.60206
"INS1","Thymus",-12
"TFPI2","Thymus",-11
"AK043599","Thymus",-12
"EDN3-new","Thymus",0.30103
"TMEM106A-new","Thymus",12.2555
"DDC","Thymus",-11
"RDM1","Thymus",13.4229
"TNK1-new","Thymus",12.4039
"TREM1-new","Thymus",-12
"2400006E01RIK-new","Thymus",-12
"IGF2AS","Thymus",-12
"UC008IHS.1-new","Thymus",-12
"5133400J02RIK-new","Thymus",-12
"PHLDA2","Thymus",-12
"AF357359","Thymus",-12
"GAB1","Thymus",11.0233
"SFMBT2","Thymus",-11
"CD81","Thymus",15.1061
"PHF17","Thymus",12.971
"TSSC4","Thymus",13.6423
"DACT2-new","Thymus",12.6864
"SLC22A2","Thymus",-12
"TSSC5","Thymus",0.30103
"SLC22A3","Thymus",-11
"KLF14","Thymus",-12
"ATP10A","Thymus",13.1686
"DCN","Thymus",14.8244
"PON2","Thymus",12.8504
"PON3","Thymus",11.4863
"AMPD3","Thymus",-0.30103
"GABRB3","Thymus",-0.60206
"GATM","Thymus",0.20548
"TBC1D12","Thymus",-11
"DIO3","Thymus",-12
"NAP1L4","Thymus",-0.57863
"MSUIT","Thymus",-12
"ASCL2","Thymus",-12
"OSBPL5","Thymus",11.2361
"TNFRSF23","Thymus",-11
"AIRN","Thymus",-1.454
"HTR2A","Thymus",-12
"MAPT","Thymus",-11
"MKRN1-PS1","Thymus",-12
"DLX5","Thymus",-12
"IGF2R","Thymus",4.3567
"TRY4-new","Thymus",-12
"TSPAN32","Thymus",13.6642
"ZIM2","Thymus",-12
"PEC3","Kidney",0
"UBE2NL","Kidney",-12
"TRAPPC9","Kidney",0.8319
"EIF2C2","Kidney",11.5538
"MIR344D-3","Kidney",-12
"MIR344G","Kidney",-12
"A930009L07RIK","Kidney",-12
"KCNK9","Kidney",-12
"RASGRF1","Kidney",-12
"INPP5F","Kidney",12.7824
"NAP1L5","Kidney",-1.5051
"USP29","Kidney",-12
"HERC3-new","Kidney",12.1339
"GM9801-new","Kidney",-12
"BEGAIN","Kidney",-11
"PX00010K13","Kidney",-12
"PEG13","Kidney",-5.7196
"1110006E14RIK","Kidney",-12
"MBII-343","Kidney",-12
"MIRG","Kidney",-12
"ZDBF2","Kidney",-12
"IMPACT","Kidney",-10
"NDN","Kidney",-12
"NIBP","Kidney",-2.1018
"AK139287","Kidney",-11
"CCDC40-AS","Kidney",-12
"PX00113D24","Kidney",-1.8062
"PEC2","Kidney",-12
"ZIM3","Kidney",-12
"AK142849","Kidney",-12
"MKRN3","Kidney",-12
"IPW","Kidney",-12
"B830012L14RIK","Kidney",-12
"ADAM23","Kidney",-0.30103
"COMMD1","Kidney",0.25298
"UBE3A","Kidney",12.2493
"WARS","Kidney",12.8858
"BCL2L1","Kidney",14.4441
"BLCAP","Kidney",13.367
"CALCR","Kidney",-11
"MAGEL2","Kidney",-12
"CDH15","Kidney",-12
"COPG2","Kidney",12.3946
"U80893","Kidney",-12
"NR_015479-new","Kidney",0.30103
"GRB10","Kidney",6.9664
"PEG10","Kidney",-0.60206
"SGCE","Kidney",-3.9134
"PEG1","Kidney",11.3716
"MCTS2","Kidney",-2.1072
"H13","Kidney",10
"SNRPN","Kidney",-10
"ZRSR1","Kidney",-9.1269
"MEG3","Kidney",0.90309
"RIAN","Kidney",-12
"PEG3","Kidney",-10
"PLAGL1","Kidney",-9.3638
"1110014L15RIK-new","Kidney",-11
"ASB4","Kidney",-12
"ZIM1","Kidney",0.60206
"KLHDC10","Kidney",13.115
"DLK1","Kidney",-12
"GNAS","Kidney",0.30103
"PPP1R9A","Kidney",11.3036
"PDE4D","Kidney",11.7612
"A19","Kidney",-12
"ZFP264","Kidney",-12
"KCNQ1OT1","Kidney",-10
"AK050713","Kidney",-12
"RTL1","Kidney",-12
"CDKN1C","Kidney",0.90309
"PEG12","Kidney",-0.30103
"KCNQ1","Kidney",12.5757
"NESPAS","Kidney",-12
"SLC38A4","Kidney",-0.16273
"H19","Kidney",0.30103
"IGF2","Kidney",-0.60206
"INS1","Kidney",-12
"TFPI2","Kidney",-11
"AK043599","Kidney",-12
"EDN3-new","Kidney",11.5903
"TMEM106A-new","Kidney",13.4918
"DDC","Kidney",13.6201
"RDM1","Kidney",13.5144
"TNK1-new","Kidney",11.917
"TREM1-new","Kidney",-12
"2400006E01RIK-new","Kidney",-12
"IGF2AS","Kidney",-12
"UC008IHS.1-new","Kidney",-12
"5133400J02RIK-new","Kidney",-12
"PHLDA2","Kidney",-0.67947
"AF357359","Kidney",-12
"GAB1","Kidney",-0.38194
"SFMBT2","Kidney",-12
"CD81","Kidney",-0.59378
"PHF17","Kidney",-0.71927
"TSSC4","Kidney",-0.53099
"DACT2-new","Kidney",13.2839
"SLC22A2","Kidney",15.8376
"TSSC5","Kidney",5.16
"SLC22A3","Kidney",-11
"KLF14","Kidney",-12
"ATP10A","Kidney",-0.16273
"DCN","Kidney",13.4539
"PON2","Kidney",12.1722
"PON3","Kidney",11.1723
"AMPD3","Kidney",11.9906
"GABRB3","Kidney",-11
"GATM","Kidney",15.5183
"TBC1D12","Kidney",-0.4387
"DIO3","Kidney",-12
"NAP1L4","Kidney",14.014
"MSUIT","Kidney",-12
"ASCL2","Kidney",-12
"OSBPL5","Kidney",12.2757
"TNFRSF23","Kidney",0.64481
"AIRN","Kidney",-0.30103
"HTR2A","Kidney",-12
"MAPT","Kidney",14.3227
"MKRN1-PS1","Kidney",-12
"DLX5","Kidney",-12
"IGF2R","Kidney",9.9328
"TRY4-new","Kidney",-12
"TSPAN32","Kidney",-0.30103
"ZIM2","Kidney",-12
"PEC3","Liver",-11
"UBE2NL","Liver",-12
"TRAPPC9","Liver",-11
"EIF2C2","Liver",-11
"MIR344D-3","Liver",-12
"MIR344G","Liver",-12
"A930009L07RIK","Liver",-12
"KCNK9","Liver",-12
"RASGRF1","Liver",-12
"INPP5F","Liver",11.5287
